stim1,stim2,stim3,correctAns,difficulty,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,fixation.started,fixation_cross.started,fixation.stopped,time_condition,odd_out_routine.started,word_one.started,word_two.started,word_three.started,key_resp_2.started,odd_out_routine.stopped,trials_2.key_resp_2.keys,fixation_cross.stopped,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,instruction.started,text.started,text.stopped,instruction.stopped,cc.started,text_countdown.started,cc.stopped,fixation_2.started,fixation_cross_2.started,fixation_2.stopped,odd_out_routine_2.started,word_one_2.started,word_two_2.started,word_three_2.started,key_resp_3.started,odd_out_routine_2.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,fixation_cross_2.stopped,EndInstruction.started,text_2.started,text_2.stopped,EndInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
rose,daisy,chair,3,medium,9,9,0,None,,,,,,0,9,9,1,,,,,19.035920568996517,,,,,,,,,19.02793827500136,19.035920568996517,19.52688390899857,Pressure,19.535313105996465,19.54311253999913,19.54311253999913,19.54311253999913,19.54311253999913,21.517528076001327,None,19.54311253999913,,,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
dog,car,cat,2,easy,10,10,0,2,1.8895819780009333,None,,,,0,10,10,0,,,,,21.527004725998268,,,,,,,,,21.518059515998175,21.527004725998268,22.011311590998957,Pressure,22.021050451003248,22.02853742300067,22.02853742300067,22.02853742300067,22.02853742300067,23.91979248700227,2,22.02853742300067,1.8895819780009333,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
square,rectangle ,triangle,3,medium,11,11,0,3,1.5965819810007815,None,,,,0,11,11,13,,,,,23.92748643000232,,,,,,,,,23.919973992997257,23.92748643000232,24.412573954003165,Pressure,24.424323373001243,24.431493293996027,24.431493293996027,24.431493293996027,24.431493293996027,26.035017299000174,3,24.431493293996027,1.5965819810007815,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
sun,book,moon,2,easy,12,12,0,None,,,,,,0,12,12,12,,,,,26.04526693099615,,,,,,,,,26.035194165997382,26.04526693099615,26.53245855699788,Pressure,26.542056794998643,26.55116540999734,26.55116540999734,26.55116540999734,26.55116540999734,28.52653268600261,None,26.55116540999734,,,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
cheetah,dolphin,leopard,2,hard,13,13,0,None,,,,,,0,13,13,11,,,,,28.5327406610013,,,,,,,,,28.526813869997568,28.5327406610013,29.017382600999554,Pressure,29.029244029996335,29.046041098001297,29.046041098001297,29.046041098001297,29.046041098001297,31.02690224399703,None,29.035521065998182,,,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
car,bus, aeroplane,3,medium,14,14,0,3,1.650024950002262,None,,,,0,14,14,10,,,,,31.033206383996003,,,,,,,,,31.02730764899752,31.033206383996003,31.51648232199659,Pressure,31.528295955999056,31.544795205998525,31.544795205998525,31.544795205998525,31.544795205998525,33.201538709996385,3,31.534568210001453,1.650024950002262,None,,,,,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.20169682300184,33.21206609100045,38.22054037199996,38.201223930002016,,,,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.20132534799632,38.22054037199996,43.209583290998125,,,,,,,,,,,,,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
bicycle,apple ,train,2,easy,0,0,0,,,,3,2.3336342769980547,None,,,,,0,0,0,6,43.22614585299743,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,43.21957096400001,43.22614585299743,43.709583684998506,43.718480618998,43.72825934299908,43.72825934299908,43.72825934299908,43.72825934299908,46.069580992996634,3,2.3336342769980547,None,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
rose,daisy,chair,3,medium,1,1,0,,,,3,3.9236507390014594,None,,,,,0,1,1,1,46.07927806000225,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,46.069868555998255,46.07927806000225,46.56687839899678,46.57826983000268,46.58619016400189,46.58619016400189,46.58619016400189,46.58619016400189,50.517868686998554,3,3.9236507390014594,None,46.58619016400189,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
apple,banana,pencil,3,easy,2,2,0,,,,3,1.4921205639984692,None,,,,,0,2,2,3,50.528263307998714,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,50.51806910899904,50.528263307998714,51.01567506900028,51.02730891799729,51.03445053000178,51.03445053000178,51.03445053000178,51.03445053000178,52.54330421699706,3,1.4921205639984692,None,51.03445053000178,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
sun,book,moon,2,easy,3,3,0,,,,2,2.0455255300039425,None,,,,,0,3,3,12,52.55333413799963,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,52.54353927500051,52.55333413799963,53.04292134499701,53.05113104100019,53.05890704799822,53.05890704799822,53.05890704799822,53.05890704799822,55.11133197000163,2,2.0455255300039425,None,53.05890704799822,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
pluto,earth,mars,1,hard,4,4,0,,,,1,1.765127393999137,None,,,,,0,4,4,5,55.125144757999806,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,55.11153856299643,55.125144757999806,55.61024678799731,55.618524272002105,55.62630416100001,55.62630416100001,55.62630416100001,55.62630416100001,57.393102699003066,1,1.765127393999137,None,55.62630416100001,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
cat,dog,lion,2,hard,5,5,0,,,,2,4.45498969899927,None,,,,,0,5,5,2,57.39871962399775,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,57.393289941996045,57.39871962399775,57.88276065300306,57.893606767000165,57.901554714997474,57.901554714997474,57.901554714997474,57.901554714997474,62.359830984001746,2,4.45498969899927,None,57.901554714997474,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
square,rectangle ,triangle,3,medium,6,6,0,,,,3,1.7721741250061314,None,,,,,0,6,6,13,62.37068218700006,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,62.36001966900221,62.37068218700006,62.859056743996916,62.86636185899988,62.87379323499772,62.87379323499772,62.87379323499772,62.87379323499772,64.65158782099752,3,1.7721741250061314,None,62.87379323499772,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
sunflower,winter,rain,1,easy,7,7,0,,,,1,4.58512710800278,None,,,,,0,7,7,9,64.66160952099744,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,64.65177403599955,64.66160952099744,65.14928243000031,65.15943561199674,65.1663014950027,65.1663014950027,65.1663014950027,65.1663014950027,69.76029266000114,1,4.58512710800278,None,65.1663014950027,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
cheetah,dolphin,leopard,2,hard,8,8,0,,,,2,1.3057738869974855,None,,,,,0,8,8,11,69.76852412500011,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,69.76047770599689,69.76852412500011,70.25913299900276,70.26783897900168,70.2756906939976,70.2756906939976,70.2756906939976,70.2756906939976,71.58324072200048,2,1.3057738869974855,None,70.2756906939976,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
dog,car,cat,2,easy,9,9,0,,,,2,7.421807193997665,None,,,,,0,9,9,0,71.59159980699769,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,71.58343421699828,71.59159980699769,72.07887787999789,72.08981284200127,72.09722209000029,72.09722209000029,72.09722209000029,72.09722209000029,79.52752151399909,2,7.421807193997665,None,72.09722209000029,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
car,bus, aeroplane,3,medium,10,10,0,,,,3,1.244217359002505,None,,,,,0,10,10,10,79.5359789590002,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,79.52770763599983,79.5359789590002,80.02635696699872,80.0356520839996,80.04346020700177,80.04346020700177,80.04346020700177,80.04346020700177,81.29364182100107,3,1.244217359002505,None,80.04346020700177,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
sofa,table,lamp,3,medium,11,11,0,,,,2,1.1048986880050506,None,,,,,0,11,11,4,81.30173074299819,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,81.29382706699835,81.30173074299819,81.79393751899624,81.80230859600124,81.80988092799817,81.80988092799817,81.80988092799817,81.80988092799817,82.92582059599954,2,1.1048986880050506,None,81.80988092799817,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
fish,bird,shark,2,medium,12,12,0,,,,2,1.5001420519984094,None,,,,,0,12,12,7,82.94293831699906,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,82.926009144001,82.94293831699906,83.4260765739964,83.434692472998,83.44235169299645,83.44235169299645,83.44235169299645,83.44235169299645,84.95174576499994,2,1.5001420519984094,None,83.44235169299645,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
trumpet ,flute,violin,3,hard,13,13,0,,,,3,4.195798569002363,None,,,,,0,13,13,8,84.96197208899684,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,84.95195052099734,84.96197208899684,85.44871460099966,85.46023037299892,85.46843847900163,85.46843847900163,85.46843847900163,85.46843847900163,89.67546942899935,3,4.195798569002363,None,85.46843847900163,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
octopus ,penguin,squid,2,hard,14,14,0,,,,2,1.1481348640008946,None,,,,,0,14,14,14,89.68388056899857,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,89.67577582300146,89.68388056899857,90.17705558599846,90.18635866900149,90.19461816600233,90.19461816600233,90.19461816600233,90.19461816600233,91.3506941509986,2,1.1481348640008946,None,,,,,,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35087385700172,91.36300596899673,93.35884488699958,93.34897810799885,612683,001,2024-12-03_15h47.57.248,OddOneOut_Experiment,2024.2.1,None,2024-12-03 15h48.14.733415 +0530,
